assigned_name,requested_scheme_code,api_scheme_code,api_scheme_name,fund_house,scheme_type,scheme_category,isin_growth,isin_div_reinvestment,records_fetched,latest_date,latest_nav,fetched_at
"HDFC Top 100 Direct - assigned code, verify",125497,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,3105,2026-06-19,202.0761,2026-06-22T21:44:32
SBI Bluechip / SBI Large Cap Direct,119551,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,INF209KA12Z1,INF209KA13Z9,3250,2026-06-19,105.9219,2026-06-22T21:44:34
ICICI Prudential Bluechip Direct,120503,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,INF846K01EW2,,3321,2026-06-19,107.9636,2026-06-22T21:44:35
Nippon India Large Cap Direct,118632,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,INF204K01XI3,,3312,2026-06-19,100.7824,2026-06-22T21:44:37
Axis Bluechip Direct,119092,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,INF179KB1HU9,,3579,2026-06-19,6195.7815,2026-06-22T21:44:38
Kotak Bluechip Direct,120841,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,INF966L01887,,3315,2026-06-19,251.5713,2026-06-22T21:44:49
